X.TCGA.A1.A0SE.01A.	X.TCGA.BRCA.	X.0.7979.
TCGA-A1-A0SE-01A	TCGA-BRCA	0,7979
TCGA-A1-A0SJ-01A	TCGA-BRCA	0,7984
TCGA-A2-A04Y-01A	TCGA-BRCA	0,7318
TCGA-A2-A0CT-01A	TCGA-BRCA	1
TCGA-A2-A0CY-01A	TCGA-BRCA	0,5145
TCGA-A2-A0D3-01A	TCGA-BRCA	0,8266
TCGA-A2-A0D4-01A	TCGA-BRCA	0,8456
TCGA-A2-A0EP-01A	TCGA-BRCA	0,3512
TCGA-A2-A0YG-01A	TCGA-BRCA	0,7976
TCGA-A2-A0YH-01A	TCGA-BRCA	0,6068
TCGA-A2-A1FW-01A	TCGA-BRCA	0,8923
TCGA-A2-A259-01A	TCGA-BRCA	0,6159
TCGA-A2-A3KD-01A	TCGA-BRCA	0,8248
TCGA-A2-A3XV-01A	TCGA-BRCA	0,836
TCGA-A2-A4RY-01A	TCGA-BRCA	0,7913
TCGA-A7-A0CH-01A	TCGA-BRCA	0,7978
TCGA-A7-A26G-01A	TCGA-BRCA	0,5182
TCGA-A7-A4SB-01A	TCGA-BRCA	0,846
TCGA-A7-A5ZV-01A	TCGA-BRCA	0,8146
TCGA-A8-A07C-01A	TCGA-BRCA	0,7396
TCGA-A8-A07E-01A	TCGA-BRCA	0,656
TCGA-A8-A082-01A	TCGA-BRCA	0,7587
TCGA-A8-A08I-01A	TCGA-BRCA	0,7019
TCGA-A8-A093-01A	TCGA-BRCA	0,7953
TCGA-A8-A0A2-01A	TCGA-BRCA	0,769
TCGA-AC-A2B8-01A	TCGA-BRCA	0,6892
TCGA-AC-A2BK-01A	TCGA-BRCA	0,9767
TCGA-AC-A2QJ-01A	TCGA-BRCA	0,4884
TCGA-AC-A4ZE-01A	TCGA-BRCA	0,8169
TCGA-AC-A62Y-01A	TCGA-BRCA	0,7913
TCGA-AC-A8OP-01A	TCGA-BRCA	0,762
TCGA-AN-A0AK-01A	TCGA-BRCA	0,8077
TCGA-AN-A0FS-01A	TCGA-BRCA	0,7357
TCGA-AN-A0FT-01A	TCGA-BRCA	0,7243
TCGA-AO-A03M-01A	TCGA-BRCA	NA
TCGA-AO-A0J3-01A	TCGA-BRCA	0,945
TCGA-AO-A0JD-01A	TCGA-BRCA	0,7512
TCGA-AO-A0JF-01A	TCGA-BRCA	0,7511
TCGA-AO-A124-01A	TCGA-BRCA	0,8859
TCGA-AO-A125-01A	TCGA-BRCA	0,984
TCGA-AO-A12B-01A	TCGA-BRCA	0,9025
TCGA-AO-A12C-01A	TCGA-BRCA	0,8583
TCGA-AO-A1KT-01A	TCGA-BRCA	0,7696
TCGA-AQ-A04L-01A	TCGA-BRCA	NA
TCGA-AR-A0U0-01A	TCGA-BRCA	0,5965
TCGA-AR-A1AU-01A	TCGA-BRCA	0,7646
TCGA-AR-A24L-01A	TCGA-BRCA	0,7182
TCGA-AR-A2LE-01A	TCGA-BRCA	0,8306
TCGA-B6-A0IM-01A	TCGA-BRCA	0,8136
TCGA-B6-A0IN-01A	TCGA-BRCA	0,7223
TCGA-B6-A0IO-01A	TCGA-BRCA	0,8583
TCGA-B6-A0RO-01A	TCGA-BRCA	0,8227
TCGA-B6-A0X1-01A	TCGA-BRCA	0,8146
TCGA-B6-A0X7-01A	TCGA-BRCA	0,7458
TCGA-BH-A0DL-01A	TCGA-BRCA	0,6655
TCGA-BH-A0DZ-01A	TCGA-BRCA	0,7792
TCGA-BH-A0E0-01A	TCGA-BRCA	0,7486
TCGA-BH-A0EE-01A	TCGA-BRCA	0,8136
TCGA-BH-A0HW-01A	TCGA-BRCA	0,9767
TCGA-BH-A0HY-01A	TCGA-BRCA	0,8838
TCGA-BH-A18Q-01A	TCGA-BRCA	0,836
TCGA-BH-A209-01A	TCGA-BRCA	0,4645
TCGA-BH-A42T-01A	TCGA-BRCA	0,7107
TCGA-C8-A12O-01A	TCGA-BRCA	0,6455
TCGA-C8-A26V-01A	TCGA-BRCA	0,8558
TCGA-C8-A273-01A	TCGA-BRCA	0,8503
TCGA-C8-A274-01A	TCGA-BRCA	0,8912
TCGA-C8-A8HQ-01A	TCGA-BRCA	0,6573
TCGA-C8-A8HR-01A	TCGA-BRCA	0,6573
TCGA-D8-A1JE-01A	TCGA-BRCA	0,6837
TCGA-D8-A1JH-01A	TCGA-BRCA	0,6126
TCGA-D8-A1JJ-01A	TCGA-BRCA	0,7272
TCGA-D8-A1JP-01A	TCGA-BRCA	0,8198
TCGA-D8-A1XC-01A	TCGA-BRCA	0,9423
TCGA-E2-A105-01A	TCGA-BRCA	0,9302
TCGA-E2-A106-01A	TCGA-BRCA	0,9548
